Respondent,Being a Rugby Union fan helps define who,It's important to me that people know I a,Respect between players is a very importa,Rugby Union is a very entertaining sport,It's important to me that the sport I fol,Playing against other international sides,I always watch Super Rugby either live or,I only watch International Rugby Union ma,Rugby Union is more enjoyable to watch in,I prefer to watch Rugby Union in a loud,"When my favourite Rugby Team is winning,",Winning is the most important part of su,It's important to me that Rugby Union ha,Having tough Rugby Union players is an i,Rugby Union is the most important sport,Segment
1070,5,2,1,1,5,1,3,4,5,4,4,5,2,2,5,Couch Warmers
1071,3,3,3,3,4,2,4,3,3,2,3,2,2,4,2,Code Hoppers
1072,4,4,2,2,3,2,3,3,2,1,2,3,3,2,4,Code Hoppers
1073,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Couch Warmers
1074,5,5,1,4,2,1,5,2,2,2,3,4,1,2,5,Code Hoppers
1075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,The Rugby Squad
1076,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,The Rugby Squad
1077,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1078,5,5,3,4,4,5,3,2,5,5,5,5,3,4,5,Couch Warmers
1079,5,4,1,2,2,1,5,1,5,4,1,5,3,2,4,Family Ties
1080,1,1,1,1,1,5,2,5,5,4,5,5,5,2,1,Rugby Disciples
1081,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Couch Warmers
1082,3,3,2,2,4,3,2,3,3,2,2,4,3,2,3,The Rugby Squad
1083,4,5,2,1,1,1,2,4,2,2,3,4,4,4,4,Family Ties
1084,3,3,1,1,3,1,3,5,1,1,1,5,1,1,4,Social Entourage
1085,4,4,2,2,3,2,4,2,4,4,2,4,2,2,2,Couch Warmers
1086,3,3,3,3,5,3,5,3,3,3,3,3,3,3,3,Couch Warmers
1087,3,3,3,3,4,3,3,3,2,3,3,2,2,3,4,The Rugby Squad
1088,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Couch Warmers
1089,3,1,1,1,1,2,1,4,3,3,3,2,1,2,1,The Rugby Squad
1090,3,3,1,1,3,1,3,3,3,3,3,1,3,3,3,The Rugby Squad
1091,3,5,1,2,1,3,4,3,4,5,5,5,5,5,5,Family Ties
1092,4,5,2,3,2,2,4,3,2,2,2,3,2,3,4,Code Hoppers
1093,3,3,2,3,3,3,4,4,2,3,4,4,3,3,2,Code Hoppers
1094,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1095,5,5,1,2,4,1,2,5,3,3,5,5,3,3,4,Rugby Disciples
1096,5,5,2,2,3,3,3,4,2,3,2,5,2,2,2,Social Entourage
1097,3,3,2,2,4,2,5,2,1,2,4,4,2,2,4,Social Entourage
1098,3,2,2,1,3,1,2,2,3,2,4,4,3,2,4,The Rugby Squad
1099,2,3,1,1,1,1,4,1,1,1,5,3,1,1,5,The Rugby Squad
1100,3,2,1,1,2,2,3,4,1,2,1,4,2,1,3,The Rugby Squad
1101,3,3,2,1,3,1,2,3,2,3,3,4,3,3,5,The Rugby Squad
1102,5,5,1,1,3,1,2,5,4,4,3,2,3,3,3,Couch Warmers
1103,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,Couch Warmers
1104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,The Rugby Squad
1105,5,5,2,3,5,5,1,2,5,4,2,2,3,3,2,Couch Warmers
1106,3,5,3,3,3,2,5,1,3,3,5,3,2,2,5,Code Hoppers
1107,2,2,1,2,2,2,3,4,2,2,3,4,1,1,4,The Rugby Squad
1108,5,5,5,5,5,5,5,5,5,5,3,3,3,5,1,Couch Warmers
1109,5,4,3,4,3,4,2,4,3,3,5,3,5,5,5,Couch Warmers
1110,3,2,2,1,1,1,1,5,2,3,5,5,2,2,1,Rugby Disciples
1111,3,3,3,3,3,3,3,3,3,2,3,3,2,4,3,Code Hoppers
1112,5,5,2,3,4,2,4,3,3,3,2,3,4,3,4,Code Hoppers
1113,2,2,2,2,3,3,4,4,2,2,2,2,2,2,2,The Rugby Squad
1114,2,2,4,4,3,4,3,2,2,3,3,2,3,3,3,The Rugby Squad
1115,5,5,5,2,5,5,3,3,5,5,4,1,5,5,5,Couch Warmers
1116,3,3,2,2,2,3,5,1,4,4,2,2,3,4,3,Couch Warmers
1117,5,3,3,2,2,2,1,5,2,2,2,2,2,1,1,Code Hoppers
1118,5,5,2,1,5,3,3,3,3,3,3,3,3,3,3,Social Entourage
1119,3,3,3,2,3,2,1,5,1,3,1,1,1,1,3,The Rugby Squad
1120,1,2,4,4,2,4,2,3,5,5,4,4,2,4,2,Couch Warmers
1121,5,3,2,2,3,2,4,2,2,3,2,4,2,2,5,Code Hoppers
1122,3,4,2,2,3,2,2,4,2,2,4,4,2,2,4,Rugby Disciples
1123,5,5,4,5,5,5,5,4,4,3,5,5,5,5,4,Code Hoppers
1124,5,5,1,1,3,3,3,4,1,3,5,5,5,5,5,Family Ties
1125,4,3,5,5,5,5,3,2,2,2,2,3,2,3,5,Code Hoppers
1126,3,3,1,1,3,2,1,4,3,3,5,5,3,2,1,Rugby Disciples
1127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,The Rugby Squad
1128,2,5,2,1,5,1,2,2,1,1,5,5,5,5,4,Family Ties
1129,3,3,1,1,5,1,2,4,2,2,4,4,3,2,2,Social Entourage
1130,5,2,1,2,1,3,3,5,3,1,5,3,3,4,1,Rugby Disciples
1131,3,5,3,4,4,3,3,3,3,3,3,3,3,3,3,Code Hoppers
1132,5,5,1,4,3,2,4,2,2,2,2,2,2,2,5,Code Hoppers
1133,2,2,2,3,3,3,3,3,3,3,3,4,2,2,2,The Rugby Squad
1134,5,5,2,3,5,5,4,5,5,3,4,4,2,2,4,Social Entourage
1135,5,5,1,1,5,5,1,5,5,5,3,3,5,5,5,Couch Warmers
1136,4,3,2,2,3,4,4,4,2,3,3,3,3,3,5,Social Entourage
1137,4,3,4,4,3,4,4,3,4,4,3,3,4,4,2,Couch Warmers
1138,5,5,1,3,4,2,5,4,3,4,3,3,4,5,5,Family Ties
1139,4,4,3,2,4,2,4,3,3,2,3,2,2,2,4,Code Hoppers
1140,3,2,3,3,3,3,3,2,3,3,2,2,3,2,2,The Rugby Squad
1141,4,4,2,2,3,1,4,2,1,1,2,2,3,3,4,Code Hoppers
1142,3,3,3,3,4,3,4,3,3,3,4,3,4,3,3,Couch Warmers
1143,1,1,1,1,1,1,1,5,1,1,5,4,2,1,1,Rugby Disciples
1144,2,3,2,1,3,1,3,3,3,3,4,3,3,3,3,The Rugby Squad
1145,1,1,1,1,1,1,1,5,1,5,5,5,1,1,1,Rugby Disciples
1146,5,5,1,2,3,2,2,4,2,4,2,2,2,2,5,Code Hoppers
1147,5,4,2,2,2,2,4,4,1,3,3,4,1,2,4,Code Hoppers
1148,5,5,1,3,3,3,4,3,2,3,2,4,4,4,5,Family Ties
1149,2,1,1,1,5,1,1,1,1,1,5,5,1,1,1,The Rugby Squad
1150,5,4,2,1,1,1,2,3,4,3,5,4,3,3,2,Couch Warmers
1151,3,4,2,1,2,2,4,2,3,2,2,1,2,3,3,The Rugby Squad
1152,4,3,1,2,3,2,3,3,2,3,2,3,1,3,4,The Rugby Squad
1153,2,2,1,1,1,1,4,3,3,3,3,3,1,1,1,The Rugby Squad
1154,3,2,1,1,2,2,3,5,2,1,3,4,3,3,1,Family Ties
1155,5,5,2,2,2,1,5,2,2,3,2,4,3,3,3,Family Ties
1156,5,4,1,2,4,4,3,3,3,3,2,3,5,4,2,Family Ties
1157,3,3,3,3,3,3,1,3,3,1,1,1,5,5,5,The Rugby Squad
1158,3,4,2,2,3,4,3,2,4,2,4,3,3,3,4,Couch Warmers
1159,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1160,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1161,5,5,2,4,2,1,4,2,2,3,1,2,1,3,5,Code Hoppers
1162,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,Couch Warmers
1163,5,5,1,1,4,2,3,3,5,4,2,2,3,3,4,Couch Warmers
1164,1,1,1,1,1,1,1,5,1,3,3,1,1,1,1,The Rugby Squad
1165,5,5,1,2,2,1,2,3,3,2,1,2,3,5,3,Family Ties
1166,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,The Rugby Squad
1167,5,4,3,2,2,3,4,4,5,3,4,4,2,2,5,Couch Warmers
1168,5,5,1,1,5,5,3,5,3,3,3,5,4,5,5,Social Entourage
1169,5,5,2,3,2,1,3,1,4,4,1,4,5,3,4,Family Ties
1170,5,5,5,5,5,2,5,2,2,3,2,4,4,4,5,Code Hoppers
1171,3,3,1,2,1,1,3,2,3,3,2,5,5,5,5,Family Ties
1172,2,1,3,2,4,5,5,1,3,3,3,5,3,3,3,The Rugby Squad
1173,5,5,1,1,3,1,5,3,3,5,5,5,1,1,3,Couch Warmers
1174,2,4,2,2,2,2,4,2,2,4,2,4,3,3,4,Family Ties
1175,5,5,1,3,3,3,5,5,5,5,5,4,5,4,3,Couch Warmers
1176,4,5,2,3,1,1,4,1,1,5,5,5,3,4,4,Family Ties
1177,4,2,1,3,4,2,4,3,2,2,4,3,4,3,2,Family Ties
1178,3,3,5,5,5,5,3,2,5,4,4,3,4,4,2,Couch Warmers
1179,5,5,1,2,5,4,5,3,3,3,4,5,2,3,5,Social Entourage
1180,5,5,3,2,3,2,1,4,2,2,2,2,2,2,3,Code Hoppers
1181,5,3,1,3,4,5,1,4,5,4,5,4,3,2,5,Rugby Disciples
1182,5,5,2,1,1,1,1,5,2,2,1,4,3,3,5,Family Ties
1183,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,The Rugby Squad
1184,5,5,4,4,2,2,4,3,3,3,2,2,3,3,4,Code Hoppers
1185,4,4,2,4,3,2,3,2,4,4,1,2,3,4,5,Code Hoppers
1186,5,5,3,2,3,2,4,2,3,3,2,3,3,3,4,Couch Warmers
1187,3,3,1,1,1,1,4,2,2,2,1,3,4,2,4,Family Ties
1188,5,3,5,1,4,1,1,4,1,2,2,2,1,1,1,Social Entourage
1189,4,4,1,3,5,5,2,3,4,4,4,4,3,3,4,Couch Warmers
1190,5,4,1,2,3,3,4,3,2,1,3,4,2,3,5,Social Entourage
1191,5,5,2,2,2,2,2,4,2,3,2,3,2,2,2,Code Hoppers
1192,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,The Rugby Squad
1193,1,5,1,5,5,5,1,4,3,5,5,5,1,1,1,Rugby Disciples
1194,3,1,1,1,1,1,1,5,2,3,3,2,2,2,3,The Rugby Squad
1195,1,1,1,1,2,1,1,5,3,5,3,2,3,2,3,The Rugby Squad
1196,4,4,2,1,5,3,1,5,4,3,5,4,2,2,2,Rugby Disciples
1197,1,1,2,1,1,1,2,3,5,5,3,2,1,1,2,The Rugby Squad
1198,5,5,3,4,3,4,3,3,3,2,3,4,2,2,3,Code Hoppers
1199,3,3,2,2,2,1,3,3,2,4,2,2,2,2,3,The Rugby Squad
1200,3,4,4,4,3,4,4,4,2,4,2,5,3,3,4,Code Hoppers
1201,1,1,1,1,1,1,5,3,1,1,1,5,1,1,2,The Rugby Squad
1202,3,4,2,1,3,2,4,3,4,4,3,3,3,4,4,Couch Warmers
1203,5,5,1,4,4,4,5,1,3,5,5,5,3,5,3,Family Ties
1204,5,3,5,1,2,2,4,2,1,1,3,3,2,3,5,Social Entourage
1205,3,1,1,1,2,1,2,4,1,2,2,3,2,2,1,The Rugby Squad
1206,3,4,4,1,1,1,1,5,4,4,2,2,3,5,5,Couch Warmers
1207,4,3,1,2,3,3,4,4,2,3,2,4,1,1,5,Social Entourage
1208,5,5,2,3,3,2,4,2,2,3,2,3,2,2,5,Code Hoppers
1209,5,5,1,1,1,1,5,2,3,3,3,3,1,2,5,Couch Warmers
1210,4,4,3,3,3,3,3,3,3,3,4,4,3,4,5,Couch Warmers
1211,4,3,2,5,1,1,4,3,3,3,2,3,2,3,3,Code Hoppers
1212,5,4,2,2,4,4,4,3,3,2,2,3,2,2,4,Social Entourage
1213,5,5,1,3,1,1,5,1,1,1,5,1,3,1,5,Code Hoppers
1214,5,5,4,3,4,2,2,2,4,4,3,4,2,3,4,Couch Warmers
1215,5,4,2,3,2,1,2,3,3,3,2,2,2,2,5,Code Hoppers
1216,5,4,1,2,3,2,2,2,4,3,2,2,4,4,4,Couch Warmers
1217,4,4,1,2,5,3,3,2,1,2,5,5,2,2,5,Social Entourage
1218,5,3,2,1,2,2,1,3,2,2,3,3,4,4,3,Family Ties
1219,5,5,3,2,5,2,1,4,2,2,2,2,3,3,4,Social Entourage
1220,4,4,3,3,3,1,5,1,1,2,2,4,1,1,5,Code Hoppers
1221,4,2,1,2,2,2,3,2,3,3,2,3,2,2,5,The Rugby Squad
1222,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1223,3,3,3,4,3,4,3,2,4,4,4,4,4,3,3,Couch Warmers
1224,5,5,3,2,4,4,5,5,5,4,2,4,2,2,4,Couch Warmers
1225,2,3,1,1,2,2,2,3,2,3,3,3,2,3,3,The Rugby Squad
1226,1,1,5,3,5,4,4,4,3,3,4,2,1,2,1,The Rugby Squad
1227,4,4,1,2,1,1,4,4,5,4,2,4,2,3,3,Family Ties
1228,5,5,2,1,3,1,5,1,5,5,5,2,2,2,3,Couch Warmers
1229,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,The Rugby Squad
1230,3,3,1,1,3,1,1,3,3,5,3,3,2,3,1,Couch Warmers
1231,5,5,3,2,3,1,5,1,4,5,5,3,1,3,5,Couch Warmers
1232,2,2,2,1,1,1,2,2,3,3,3,3,2,3,2,The Rugby Squad
1233,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1234,4,4,2,2,3,2,3,4,3,3,3,4,2,4,3,Couch Warmers
1235,5,5,2,3,5,4,3,4,2,5,4,5,2,3,5,Social Entourage
1236,4,4,3,3,4,2,3,4,2,2,2,2,2,3,5,Code Hoppers
1237,4,5,1,2,4,2,2,3,4,3,2,2,3,4,5,Couch Warmers
1238,5,5,2,2,2,2,3,2,5,5,3,3,3,5,5,Couch Warmers
1239,5,3,3,2,4,2,2,4,3,4,3,2,3,3,4,Couch Warmers
1240,5,3,1,2,1,5,4,3,3,3,1,4,1,1,5,Rugby Disciples
1241,5,5,3,3,5,5,2,5,3,3,3,3,2,2,3,Social Entourage
1242,2,4,1,1,2,2,1,5,2,3,2,2,2,2,2,The Rugby Squad
1243,3,3,1,3,2,1,2,2,2,2,2,2,2,2,5,The Rugby Squad
1244,3,3,2,2,2,2,2,4,3,3,2,2,3,3,4,The Rugby Squad
1245,3,3,3,4,4,4,2,4,4,4,3,3,4,4,4,Couch Warmers
1246,5,5,1,1,1,1,2,3,1,1,1,1,1,1,5,The Rugby Squad
1247,2,3,1,1,5,5,2,4,3,3,2,2,3,4,2,The Rugby Squad
1248,3,4,3,5,2,2,4,2,2,3,2,4,3,3,4,Code Hoppers
1249,4,3,1,2,1,2,2,5,1,2,2,3,2,2,4,The Rugby Squad
1250,5,5,1,3,2,2,1,4,3,4,2,4,3,4,4,Family Ties
1251,4,4,2,2,2,2,2,2,2,2,2,3,2,4,4,The Rugby Squad
1252,2,2,1,1,1,1,2,5,1,1,5,5,2,2,2,Rugby Disciples
1253,4,4,2,1,3,3,1,4,2,3,3,3,1,1,4,Rugby Disciples
1254,3,3,2,1,4,1,3,2,3,4,3,2,2,1,5,The Rugby Squad
1255,3,4,1,2,2,2,2,4,2,1,2,2,2,2,4,The Rugby Squad
1256,5,5,3,3,4,2,5,4,3,3,3,3,3,5,5,Couch Warmers
1257,5,4,3,2,2,2,1,3,2,1,1,2,2,2,5,Code Hoppers
1258,3,3,3,3,3,3,1,1,2,3,3,3,3,3,3,The Rugby Squad
1259,3,3,2,3,3,3,3,3,4,5,3,3,2,2,3,Couch Warmers
1260,1,5,1,1,1,1,1,5,5,1,5,5,1,1,5,Rugby Disciples
1261,5,5,1,1,4,3,5,1,5,5,5,5,1,1,5,Couch Warmers
1262,3,4,2,3,2,2,3,3,2,2,1,3,2,2,4,Code Hoppers
1263,5,5,2,2,4,1,5,2,2,3,2,3,2,4,4,Code Hoppers
1264,5,5,1,1,1,5,1,5,5,5,5,5,5,5,5,Rugby Disciples
1265,5,4,1,1,3,1,4,2,3,3,1,3,2,3,4,Family Ties
1266,4,4,4,4,4,3,4,4,4,3,4,4,3,4,3,Code Hoppers
1267,4,1,1,1,2,2,1,5,4,1,5,5,2,2,3,Rugby Disciples
1268,3,3,2,2,2,2,2,4,3,3,2,3,2,2,3,The Rugby Squad
1269,3,3,2,2,2,2,3,3,3,3,4,3,2,2,2,The Rugby Squad
1270,4,4,3,2,2,2,2,3,2,3,3,3,3,3,2,Couch Warmers
1271,3,2,1,2,3,2,4,2,3,3,2,4,2,2,2,The Rugby Squad
1272,3,2,1,1,1,1,3,3,3,3,3,5,1,1,1,Rugby Disciples
1273,3,3,1,2,3,2,3,5,2,2,3,3,2,2,3,The Rugby Squad
1274,4,4,3,2,3,3,5,2,2,3,3,3,3,3,3,Couch Warmers
1275,4,5,1,2,2,1,4,2,2,3,1,1,2,2,5,Code Hoppers
1276,4,3,5,1,1,1,5,5,4,3,1,3,5,4,4,Couch Warmers
1277,4,4,2,2,2,1,3,2,3,3,3,4,4,4,4,Family Ties
1278,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1279,5,5,2,2,3,4,2,5,2,3,2,5,3,3,3,Social Entourage
1280,3,3,3,2,3,3,2,4,3,3,3,3,3,3,3,Couch Warmers
1281,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,The Rugby Squad
1282,3,3,1,1,4,4,3,3,2,3,2,3,2,2,4,The Rugby Squad
1283,4,3,3,3,3,3,2,3,4,4,3,3,5,3,5,Couch Warmers
1284,5,4,4,3,2,1,2,2,3,3,2,4,2,2,4,Code Hoppers
1285,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,The Rugby Squad
1286,2,4,3,3,2,2,3,3,4,4,2,3,2,3,5,Couch Warmers
1287,4,4,2,2,2,1,5,1,3,4,2,4,2,3,4,Family Ties
1288,2,2,2,3,3,3,3,3,3,2,4,3,3,3,3,The Rugby Squad
1289,5,5,3,1,3,3,2,4,1,1,3,3,2,2,2,Social Entourage
1290,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1291,5,5,5,4,3,3,4,3,4,4,4,3,2,4,5,Couch Warmers
1292,5,5,1,3,5,3,1,5,3,4,3,3,4,3,3,Social Entourage
1293,5,5,1,1,5,1,3,2,5,4,3,3,1,2,5,Couch Warmers
1294,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1295,3,3,1,2,2,3,3,3,2,2,3,4,2,3,5,The Rugby Squad
1296,3,3,2,2,2,2,3,2,2,4,3,3,3,3,2,The Rugby Squad
1297,5,5,2,3,2,2,5,3,2,2,3,5,1,2,5,Code Hoppers
1298,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,The Rugby Squad
1299,5,5,3,3,3,3,2,4,3,2,5,4,2,3,5,Code Hoppers
1300,5,5,1,1,5,1,1,4,1,1,1,3,1,1,5,Social Entourage
1301,3,5,1,4,3,4,1,5,1,4,1,1,2,2,4,Code Hoppers
1302,5,5,2,1,2,2,5,2,3,4,3,3,2,2,3,Couch Warmers
1303,5,5,5,4,2,4,5,1,3,4,5,3,1,1,5,Code Hoppers
1304,5,5,2,2,3,2,5,2,3,4,2,3,2,3,2,Couch Warmers
1305,5,5,1,2,2,2,5,2,3,3,2,4,3,3,4,Family Ties
1306,5,5,1,2,2,2,5,1,2,1,5,5,2,2,5,Code Hoppers
1307,3,3,2,1,2,1,4,2,2,2,1,1,3,2,2,The Rugby Squad
1308,5,4,2,1,4,1,3,3,2,3,3,3,2,1,3,Social Entourage
1309,5,5,1,3,5,2,2,4,3,4,3,4,4,5,5,Family Ties
1310,5,5,2,3,2,1,1,2,3,2,1,4,4,4,5,Family Ties
1311,5,5,3,4,5,3,5,1,3,3,3,3,3,3,5,Code Hoppers
1312,5,3,3,2,3,1,1,2,1,3,1,2,1,1,5,Code Hoppers
1313,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,The Rugby Squad
1314,4,3,2,2,4,3,1,3,1,3,3,3,3,2,5,Social Entourage
1315,5,5,1,3,4,3,5,4,4,3,4,5,4,4,5,Family Ties
1316,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1317,5,5,1,2,1,1,5,1,1,5,5,5,2,1,5,Code Hoppers
1318,3,3,2,1,2,2,2,3,3,4,2,3,1,1,3,The Rugby Squad
1319,4,3,3,3,4,3,3,4,4,3,3,4,3,3,4,Couch Warmers
1320,3,2,4,4,4,2,3,2,3,4,3,3,2,3,4,Couch Warmers
1321,3,3,2,3,2,2,2,3,4,3,3,2,2,4,4,Couch Warmers
1322,3,2,1,1,2,3,1,4,3,3,5,5,2,3,1,Rugby Disciples
1323,4,2,2,2,3,1,3,4,1,1,3,4,2,4,5,Family Ties
1324,4,5,1,2,4,2,4,2,2,3,2,5,4,4,5,Family Ties
1325,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1326,4,4,1,2,2,2,1,1,1,3,1,1,2,2,2,The Rugby Squad
1327,5,5,3,3,3,3,5,2,2,3,2,3,3,3,5,Code Hoppers
1328,4,5,1,3,4,4,3,3,2,1,5,5,2,2,5,Rugby Disciples
1329,3,3,1,1,3,1,1,5,1,3,4,5,1,1,1,Rugby Disciples
1330,5,5,2,2,2,1,5,1,5,3,3,1,1,1,3,Code Hoppers
1331,5,5,1,3,3,1,5,3,3,2,2,2,4,3,5,Code Hoppers
1332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,The Rugby Squad
1333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1334,4,3,2,1,3,2,2,3,3,4,3,3,4,4,4,Couch Warmers
1335,1,3,1,1,5,1,1,5,1,1,5,5,5,3,1,Social Entourage
1336,3,3,3,2,2,2,2,3,4,4,2,3,2,3,3,Couch Warmers
1337,3,3,2,2,2,2,3,2,3,2,3,2,3,3,3,The Rugby Squad
1338,3,5,5,2,3,2,3,3,2,1,1,1,1,1,5,Code Hoppers
1339,3,3,1,2,2,2,4,2,4,2,1,4,2,2,5,The Rugby Squad
1340,5,5,1,2,3,1,5,1,1,2,2,2,2,2,5,Code Hoppers
1341,3,2,1,1,2,1,1,5,3,2,3,4,2,3,1,Rugby Disciples
1342,5,5,2,1,4,1,2,3,5,5,5,5,1,1,5,Couch Warmers
1343,5,5,1,1,1,1,1,5,4,5,5,5,1,1,2,Rugby Disciples
1344,5,2,1,1,1,2,5,1,2,4,4,4,2,3,5,Family Ties
1345,3,3,1,2,3,3,3,3,3,3,1,1,3,2,2,The Rugby Squad
1346,2,2,1,1,2,3,1,5,1,3,2,4,5,4,2,Family Ties
1347,4,4,2,2,3,2,3,2,4,4,1,2,2,2,4,Couch Warmers
1348,2,1,1,1,2,1,2,5,2,1,3,3,1,1,1,The Rugby Squad
1349,5,5,3,2,2,1,4,2,5,5,3,1,2,2,5,Couch Warmers
1350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,The Rugby Squad
1351,4,2,2,2,5,3,4,3,5,2,3,3,3,4,4,Couch Warmers
1352,4,3,3,2,3,2,3,2,2,4,3,4,3,3,4,Couch Warmers
1353,5,5,1,3,3,3,4,2,3,3,3,2,3,3,5,Code Hoppers
1354,5,4,2,3,4,2,3,4,3,2,4,3,2,2,5,Code Hoppers
1355,4,2,2,2,3,2,3,3,3,3,3,3,3,3,5,Couch Warmers
1356,5,3,2,2,1,1,3,4,4,5,1,2,2,2,4,Couch Warmers
1357,3,3,2,1,4,3,2,4,3,2,4,4,3,3,4,Social Entourage
1358,5,5,1,2,4,4,4,2,2,3,3,3,5,5,5,Family Ties
1359,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Couch Warmers
1360,1,2,1,1,1,1,2,3,3,3,2,2,1,1,1,The Rugby Squad
1361,5,5,3,2,5,3,4,5,5,3,1,1,2,1,4,Code Hoppers
1362,1,3,1,2,2,2,2,3,3,2,1,1,3,3,5,The Rugby Squad
1363,1,1,1,2,1,1,2,5,2,2,4,4,1,1,2,The Rugby Squad
1364,3,3,1,4,4,4,4,3,4,4,2,2,4,4,4,Couch Warmers
1365,2,2,1,1,3,1,1,4,2,5,5,5,1,2,4,Rugby Disciples
1366,3,3,2,2,2,2,4,3,3,3,2,4,2,3,4,The Rugby Squad
1367,3,3,2,1,3,2,2,3,4,2,3,2,4,3,2,Couch Warmers
1368,2,2,2,2,2,2,3,3,2,2,3,2,2,3,2,The Rugby Squad
1369,4,5,2,1,2,2,2,3,4,3,2,4,2,3,3,Couch Warmers
1370,4,5,4,4,4,3,3,3,4,4,4,3,4,4,4,Couch Warmers
1371,4,4,4,4,3,2,4,4,4,3,2,2,3,3,4,Code Hoppers
1372,4,4,3,2,3,3,4,3,2,2,3,3,2,3,3,Social Entourage
1373,5,5,1,1,4,3,4,4,3,1,1,3,2,3,4,Social Entourage
1374,4,3,3,1,2,1,2,3,3,3,2,2,2,2,3,Couch Warmers
1375,5,4,1,2,4,3,4,5,4,3,2,2,3,3,4,Social Entourage
1376,5,4,2,2,2,2,4,3,3,3,2,4,2,2,5,Code Hoppers
1377,3,3,1,1,1,1,5,3,3,4,3,4,2,3,5,Family Ties
1378,5,5,1,1,1,1,1,5,5,3,2,4,4,2,1,Family Ties
1379,5,5,2,3,5,1,4,1,2,3,5,4,3,4,5,Code Hoppers
1380,5,5,3,2,4,1,4,2,4,2,2,3,3,1,3,Code Hoppers
1381,5,5,1,3,2,2,3,2,4,5,2,4,5,5,4,Family Ties
1382,3,3,1,1,3,3,1,5,3,1,5,5,4,5,3,Rugby Disciples
1383,4,4,1,1,3,4,2,5,3,3,5,5,2,2,3,Rugby Disciples
1384,1,1,1,2,1,1,4,5,5,4,5,5,3,3,1,Family Ties
1385,5,5,1,1,2,3,1,4,5,5,5,5,2,2,2,Rugby Disciples
1386,2,3,2,1,2,2,2,2,3,3,2,3,2,3,1,The Rugby Squad
1387,2,2,2,1,2,1,4,2,2,1,1,2,1,1,2,The Rugby Squad
1388,4,2,3,2,3,4,2,3,3,4,2,3,4,3,2,Couch Warmers
1389,5,5,2,3,3,1,4,2,4,4,2,3,2,3,4,Code Hoppers
1390,3,3,3,1,3,4,2,4,3,3,5,5,3,3,3,Rugby Disciples
1391,2,5,3,1,2,1,1,3,1,2,2,2,3,3,3,The Rugby Squad
1392,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,The Rugby Squad
1393,5,5,2,2,5,1,4,2,3,3,3,4,2,2,5,Code Hoppers
1394,3,3,5,2,3,2,3,3,3,2,3,4,2,2,4,Couch Warmers
1395,5,3,1,2,3,2,4,2,1,1,1,2,1,1,5,Code Hoppers
1396,1,1,1,3,3,3,2,3,3,2,2,3,2,3,3,The Rugby Squad
1397,4,4,2,2,4,2,3,3,2,3,2,3,3,3,4,Social Entourage
1398,3,3,2,2,2,2,2,4,3,2,5,5,2,2,3,Rugby Disciples
1399,3,5,2,1,2,1,2,3,3,3,1,1,2,2,2,The Rugby Squad
1400,5,5,2,2,2,2,4,2,2,3,3,4,3,3,5,Family Ties
1401,5,5,1,1,1,1,4,2,1,1,5,5,1,2,5,Rugby Disciples
1402,3,4,3,4,3,3,3,4,4,3,4,4,4,3,3,Code Hoppers
1403,3,3,1,1,1,1,2,4,2,3,3,3,1,1,1,The Rugby Squad
1404,3,3,5,5,3,5,3,2,4,3,5,3,4,4,3,Couch Warmers
